data,hora,taxa
2024/10/24,11:02:07,10.29740153534819
2024/10/24,11:02:08,10.758962927496363
2024/10/24,11:02:09,10.457270484135082
2024/10/24,11:02:10,10.504833912921894
2024/10/24,11:02:11,10.988150235615677
2024/10/24,11:02:12,10.489808666965116
2024/10/24,11:02:13,10.465742278351659
2024/10/24,11:02:14,10.986743803172732
2024/10/24,11:02:15,10.26048674839794
2024/10/24,11:02:16,11.14476757769404
2024/10/24,13:58:15,11.011176155195951
2024/10/24,13:58:16,10.979749505244204
2024/10/24,13:58:17,11.042450545137601
2024/10/24,13:58:18,10.817469328768802
2024/10/24,13:58:19,10.579897597937782
2024/10/24,13:58:20,10.62081677146052
2024/10/24,13:58:21,10.6992357356744
2024/10/24,13:58:22,11.052383257506968
2024/10/24,13:58:23,10.992032300820888
2024/10/24,13:58:24,10.428361641773606
